final_split,label,image_count
test,freshapples,791
test,freshbanana,892
test,freshcucumber,279
test,freshokra,370
test,freshoranges,388
test,freshpatato,270
test,freshtamto,255
test,rottenapples,988
test,rottenbanana,900
test,rottencucumber,255
test,rottenokra,224
test,rottenoranges,403
test,rottenpatato,370
test,rottentamto,353
train,freshapples,2155
train,freshbanana,2194
train,freshbittergroud,291
train,freshcapsicum,880
train,freshcucumber,441
train,freshokra,564
train,freshoranges,1303
train,freshpotato,476
train,freshtomato,1652
train,rottenapples,2887
train,rottenbanana,2606
train,rottenbittergroud,317
train,rottencapsicum,801
train,rottencucumber,374
train,rottenokra,300
train,rottenoranges,1418
train,rottenpotato,713
train,rottentomato,1622
validation,freshapples,269
validation,freshbanana,274
validation,freshbittergroud,36
validation,freshcapsicum,110
validation,freshcucumber,55
validation,freshokra,71
validation,freshoranges,163
validation,freshpotato,60
validation,freshtomato,206
validation,rottenapples,361
validation,rottenbanana,326
validation,rottenbittergroud,40
validation,rottencapsicum,100
validation,rottencucumber,47
validation,rottenokra,38
validation,rottenoranges,177
validation,rottenpotato,89
validation,rottentomato,203
