class_or_average,precision,recall,f1-score,support
freshapples,0.9666666666666667,0.9898862199747156,0.9781386633354153,791.0
freshbanana,0.9988751406074241,0.9955156950672646,0.9971925884334644,892.0
freshbittergroud,0.0,0.0,0.0,0.0
freshcapsicum,0.0,0.0,0.0,0.0
freshcucumber,0.9215686274509803,0.8422939068100358,0.8801498127340824,279.0
freshokra,0.9031339031339032,0.8567567567567568,0.8793342579750347,370.0
freshoranges,0.9948186528497409,0.9896907216494846,0.9922480620155039,388.0
freshpatato,0.0,0.0,0.0,270.0
freshpotato,0.0,0.0,0.0,0.0
freshtamto,0.0,0.0,0.0,255.0
freshtomato,0.0,0.0,0.0,0.0
rottenapples,0.9884937238493724,0.9564777327935222,0.9722222222222222,988.0
rottenbanana,0.9943374858437146,0.9755555555555555,0.9848569826135727,900.0
rottenbittergroud,0.0,0.0,0.0,0.0
rottencapsicum,0.0,0.0,0.0,0.0
rottencucumber,0.7516339869281046,0.9019607843137255,0.8199643493761141,255.0
rottenokra,0.8026315789473685,0.8169642857142857,0.8097345132743363,224.0
rottenoranges,0.9614457831325302,0.9900744416873449,0.9755501222493888,403.0
rottenpatato,0.0,0.0,0.0,370.0
rottenpotato,0.0,0.0,0.0,0.0
rottentamto,0.0,0.0,0.0,353.0
rottentomato,0.0,0.0,0.0,0.0
accuracy,0.777975660433363,0.777975660433363,0.777975660433363,0.777975660433363
macro avg,0.42198207042771846,0.42341709546921324,0.4222450715558697,6738.0
weighted avg,0.7811444218840953,0.777975660433363,0.7791119281812386,6738.0
