class_or_average,precision,recall,f1-score,support
freshapples,0.992462311557789,0.9987357774968394,0.9955891619407687,791.0
freshbanana,1.0,1.0,1.0,892.0
freshbittergroud,0.0,0.0,0.0,0.0
freshcapsicum,0.0,0.0,0.0,0.0
freshcucumber,0.989247311827957,0.989247311827957,0.989247311827957,279.0
freshokra,0.9916897506925207,0.9675675675675676,0.9794801641586868,370.0
freshoranges,0.9973958333333334,0.9871134020618557,0.9922279792746114,388.0
freshpatato,0.0,0.0,0.0,270.0
freshpotato,0.0,0.0,0.0,0.0
freshtamto,0.0,0.0,0.0,255.0
freshtomato,0.0,0.0,0.0,0.0
rottenapples,0.9969574036511156,0.9949392712550608,0.9959473150962512,988.0
rottenbanana,1.0,1.0,1.0,900.0
rottenbittergroud,0.0,0.0,0.0,0.0
rottencapsicum,0.0,0.0,0.0,0.0
rottencucumber,0.9548872180451128,0.996078431372549,0.9750479846449136,255.0
rottenokra,0.9547511312217195,0.9419642857142857,0.9483146067415731,224.0
rottenoranges,0.9875930521091811,0.9875930521091811,0.9875930521091811,403.0
rottenpatato,0.0,0.0,0.0,370.0
rottenpotato,0.0,0.0,0.0,0.0
rottentamto,0.0,0.0,0.0,353.0
rottentomato,0.0,0.0,0.0,0.0
accuracy,0.8081032947462155,0.8081032947462155,0.8081032947462155,0.8081032947462155
macro avg,0.4484083642017604,0.448329049972968,0.44833852617245196,6738.0
weighted avg,0.8084456646385054,0.8081032947462155,0.8082455920305838,6738.0
