class_or_average,precision,recall,f1-score,support
freshapples,0.9949685534591195,1.0,0.9974779319041615,791.0
freshbanana,1.0,1.0,1.0,892.0
freshbittergroud,0.0,0.0,0.0,0.0
freshcapsicum,0.0,0.0,0.0,0.0
freshcucumber,0.9618055555555556,0.992831541218638,0.9770723104056437,279.0
freshokra,1.0,0.9648648648648649,0.9821182943603851,370.0
freshoranges,1.0,0.9922680412371134,0.9961190168175937,388.0
freshpatato,0.0,0.0,0.0,270.0
freshpotato,0.0,0.0,0.0,0.0
freshtamto,0.0,0.0,0.0,255.0
freshtomato,0.0,0.0,0.0,0.0
rottenapples,0.9959595959595959,0.9979757085020243,0.9969666329625885,988.0
rottenbanana,1.0,1.0,1.0,900.0
rottenbittergroud,0.0,0.0,0.0,0.0
rottencapsicum,0.0,0.0,0.0,0.0
rottencucumber,0.98828125,0.9921568627450981,0.9902152641878669,255.0
rottenokra,0.9780701754385965,0.9955357142857143,0.9867256637168141,224.0
rottenoranges,0.9975,0.9900744416873449,0.9937733499377335,403.0
rottenpatato,0.0,0.0,0.0,370.0
rottenpotato,0.0,0.0,0.0,0.0
rottentamto,0.0,0.0,0.0,353.0
rottentomato,0.0,0.0,0.0,0.0
accuracy,0.8107747105966162,0.8107747105966162,0.8107747105966162,0.8107747105966162
macro avg,0.45075386956422125,0.4511685079336726,0.4509303847405812,6738.0
weighted avg,0.8106951461327531,0.8107747105966162,0.8107021817468614,6738.0
