true_label,freshapples,freshbanana,freshbittergroud,freshcapsicum,freshcucumber,freshokra,freshoranges,freshpatato,freshpotato,freshtamto,freshtomato,rottenapples,rottenbanana,rottenbittergroud,rottencapsicum,rottencucumber,rottenokra,rottenoranges,rottenpatato,rottenpotato,rottentamto,rottentomato
freshapples,783,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0
freshbanana,0,888,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
freshbittergroud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshcapsicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshcucumber,0,0,0,0,235,26,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0
freshokra,0,0,1,0,17,317,0,0,0,0,0,0,0,0,0,21,14,0,0,0,0,0
freshoranges,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
freshpatato,0,1,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,128,0,0
freshpotato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshtamto,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,2,0,0,1,0,0
freshtomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottenapples,27,0,0,0,0,0,0,0,0,0,1,945,3,0,1,2,0,9,0,0,0,0
rottenbanana,0,0,0,0,0,0,0,0,2,0,0,0,878,1,0,7,0,2,0,10,0,0
rottenbittergroud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottencapsicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottencucumber,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,230,12,0,0,6,0,0
rottenokra,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,22,183,0,0,16,0,0
rottenoranges,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,399,0,0,0,0
rottenpatato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,367,0,0
rottenpotato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottentamto,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,7,14,0,0,3,0,319
rottentomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
