true_label,freshapples,freshbanana,freshbittergroud,freshcapsicum,freshcucumber,freshokra,freshoranges,freshpatato,freshpotato,freshtamto,freshtomato,rottenapples,rottenbanana,rottenbittergroud,rottencapsicum,rottencucumber,rottenokra,rottenoranges,rottenpatato,rottenpotato,rottentamto,rottentomato
freshapples,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshbanana,0,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshbittergroud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshcapsicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshcucumber,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
freshokra,0,0,0,0,9,357,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
freshoranges,1,0,0,0,0,0,385,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
freshpatato,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,10,0,0
freshpotato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshtamto,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0
freshtomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottenapples,2,0,0,0,0,0,0,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0
rottenbanana,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0
rottenbittergroud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottencapsicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottencucumber,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0
rottenokra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,223,0,0,0,0,0
rottenoranges,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,399,0,0,0,0
rottenpatato,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,368,0,0
rottenpotato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottentamto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,351
rottentomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
