model,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
ResNet50,1,0.8383347392082214,0.5280097723007202,0.9466666579246521,0.1630873829126358,0.0005000000237487257
ResNet50,2,0.9482232928276062,0.19561313092708588,0.9626666903495789,0.12481747567653656,0.0005000000237487257
ResNet50,3,0.9635609984397888,0.15262895822525024,0.9691428542137146,0.09865140169858932,0.0005000000237487257
ResNet50,4,0.9686577320098877,0.12578769028186798,0.9683809280395508,0.09404584765434265,0.0005000000237487257
ResNet50,5,0.9731827974319458,0.11021097004413605,0.9714285731315613,0.08643511682748795,0.0005000000237487257
ResNet50,6,0.9740878343582153,0.10509082674980164,0.977904736995697,0.06987044215202332,0.0005000000237487257
ResNet50,7,0.9762789607048035,0.09619602560997009,0.977904736995697,0.06721935421228409,0.0005000000237487257
ResNet50,8,0.9773268699645996,0.09406685084104538,0.980571448802948,0.05685245245695114,0.0005000000237487257
ResNet50,9,0.9771839380264282,0.08962754905223846,0.977904736995697,0.0615229606628418,0.0005000000237487257
ResNet50,10,0.9793274402618408,0.08343075960874557,0.9786666631698608,0.06510022282600403,0.0005000000237487257
ResNet50,11,0.9823759198188782,0.0719255581498146,0.9809523820877075,0.057163916528224945,0.0001500000071246177
ResNet50,12,0.9835667610168457,0.06583204865455627,0.9798095226287842,0.0586826354265213,0.0001500000071246177
ResNet50,13,0.9836620092391968,0.06368223577737808,0.9809523820877075,0.057515863329172134,4.5000000682193786e-05
ResNet50,14,0.985662579536438,0.05927777290344238,0.9824761748313904,0.05112943425774574,4.5000000682193786e-05
ResNet50,15,0.9859960079193115,0.05936077982187271,0.9801904559135437,0.05825444683432579,4.5000000682193786e-05
ResNet50,16,0.9860436320304871,0.05970386788249016,0.9820952415466309,0.053198810666799545,4.5000000682193786e-05
ResNet50,17,0.9859007596969604,0.06292324513196945,0.9809523820877075,0.05341517925262451,1.3500000022759195e-05
ResNet50,18,0.9859960079193115,0.06146354600787163,0.980571448802948,0.055518291890621185,1.3500000022759195e-05
ResNet50,19,0.9847099184989929,0.06581418961286545,0.9847618937492371,0.04615265503525734,9.999999747378752e-06
ResNet50,20,0.9907592535018921,0.04086683690547943,0.9809523820877075,0.04771639406681061,9.999999747378752e-06
ResNet50,21,0.9940459132194519,0.025745736435055733,0.9893333315849304,0.033051710575819016,9.999999747378752e-06
ResNet50,22,0.9951414465904236,0.023814113810658455,0.9851428866386414,0.04694950580596924,9.999999747378752e-06
ResNet50,23,0.9959988594055176,0.01565064862370491,0.9908571243286133,0.03152657672762871,9.999999747378752e-06
ResNet50,24,0.9961417317390442,0.016235580667853355,0.9923809766769409,0.025752676650881767,9.999999747378752e-06
ResNet50,25,0.9972373247146606,0.012349779717624187,0.9935238361358643,0.023680241778492928,9.999999747378752e-06
ResNet50,26,0.9972849488258362,0.009348319843411446,0.9923809766769409,0.026780154556035995,9.999999747378752e-06
